,names,urls,prices,state
0,FireWatch. A NYS Forever-Wild Wilderness Meadow /AWD/4WD ONLY SITE,https://www.tentrr.com/explore/New-York/FireWatch-A-NYS-Forever-Wild-Wilderness-Meadow-AWD-4WD-ONLY-SITE?start=&end=&number_of_people=2,140,New York
1,Billy & Bessy's Backwoods Camping ,https://www.tentrr.com/explore/New-York/Billy-Bessy-s-Backwoods-Camping?start=&end=&number_of_people=2,36,New York
2,The Old Catskill Game Farm Abandoned Zoo: Overlook Site,https://www.tentrr.com/explore/New-York/The-Old-Catskill-Game-Farm-Abandoned-Zoo-Overlook-Site?start=&end=&number_of_people=2,140,New York
3,Home Sweet Campsite,https://www.tentrr.com/explore/New-York/Home-Sweet-Campsite?start=&end=&number_of_people=2,136,New York
4,Lake Taghkanic Lakeside Single - Site C,https://www.tentrr.com/explore/New-York/Lake-Taghkanic-Lakeside-Single-Site-C?start=&end=&number_of_people=2,135,New York
5,Hidden Creek,https://www.tentrr.com/explore/New-York/Hidden-Creek?start=&end=&number_of_people=2,127,New York
6,Lake Taghkanic Lakeside Triple - Site A,https://www.tentrr.com/explore/New-York/Lake-Taghkanic-Lakeside-Triple-Site-A?start=&end=&number_of_people=2,345,New York
7,The Forest Glade,https://www.tentrr.com/explore/New-York/The-Forest-Glade?start=&end=&number_of_people=2,95,New York
8,Tall Timber Campground,https://www.tentrr.com/explore/New-York/Tall-Timber-Campground?start=&end=&number_of_people=2,112,New York
9,Two Fields Farm   Close to NYC with beautiful pond,https://www.tentrr.com/explore/New-York/Two-Fields-Farm-Close-to-NYC-with-beautiful-pond?start=&end=&number_of_people=2,5575,New York
10,Pink Mountain,https://www.tentrr.com/explore/New-York/Pink-Mountain?start=&end=&number_of_people=2,95,New York
11,Catskill Park Manor Campsite,https://www.tentrr.com/explore/New-York/Catskill-Park-Manor-Campsite?start=&end=&number_of_people=2,200,New York
0,The Lodge's Backcountry Site,https://www.tentrr.com/explore/New-York/The-Lodge-s-Backcountry-Site?start=&end=&number_of_people=2,50,New York
1,Blackberry Meadow,https://www.tentrr.com/explore/New-York/Blackberry-Meadow?start=&end=&number_of_people=2,140,New York
2,Adirondack,https://www.tentrr.com/explore/New-York/Adirondack?start=&end=&number_of_people=2,89,New York
3,Sunrise Hill,https://www.tentrr.com/explore/New-York/Sunrise-Hill?start=&end=&number_of_people=2,80,New York
4,Dreamroad Farm Pasture View,https://www.tentrr.com/explore/New-York/Dreamroad-Farm-Pasture-View?start=&end=&number_of_people=2,80,New York
5,Newtown Pippin,https://www.tentrr.com/explore/New-York/Newtown-Pippin?start=&end=&number_of_people=2,120,New York
6,Wildflower,https://www.tentrr.com/explore/New-York/Wildflower?start=&end=&number_of_people=2,89,New York
7,Isabel's Family Farm ,https://www.tentrr.com/explore/New-York/Isabel-s-Family-Farm?start=&end=&number_of_people=2,120,New York
8,Mills Norrie State Park Site B,https://www.tentrr.com/explore/New-York/Mills-Norrie-State-Park-Site-B?start=&end=&number_of_people=2,135,New York
9,Mills Norrie State Park Site A,https://www.tentrr.com/explore/New-York/Mills-Norrie-State-Park-Site-A?start=&end=&number_of_people=2,135,New York
